"id","ja","en","de","fr","ko","zh-cn"
"100","テレポート","teleport","teleport","téléport","순간이동","瞬間移動"
"101","ナイトヘッド","night-shade","nachtnebel","ombre-nocturne*","나이트헤드","黑夜魔影"
"102","ものまね","mimic","mimikry","copie","흉내내기","模仿"
"103","いやなおと","screech","kreideschrei","grincement","싫은소리","刺耳聲"
"104","かげぶんしん","double-team","doppelteam","reflet","그림자분신","影子分身"
"105","じこさいせい","recover","genesung","soin","hp회복","自我再生"
"106","かたくなる","harden","härtner","armure","단단해지기","變硬"
"107","ちいさくなる","minimize","komprimator","lilliput","작아지기","變小"
"108","えんまく","smokescreen","rauchwolke","brouillard","연막","煙幕"
"109","あやしいひかり","confuse-ray","konfusstrahl*","onde-folie","이상한빛","奇異之光"
"110","からにこもる","withdraw","panzerschutz","repli","껍질에숨기","縮入殼中"
"111","まるくなる","defense-curl","einigler","boul'armure","웅크리기","變圓"
"112","バリアー","barrier","barriere","bouclier","배리어","屏障"
"113","ひかりのかべ","light-screen","lichtschild","mur-lumière","빛의장막","光牆"
"114","くろいきり","haze","dunkelnebel","buée-noire","흑안개","黑霧"
"115","リフレクター","reflect","reflektor","protection","리플렉터","反射壁"
"116","きあいだめ","focus-energy","energiefokus","puissance","기충전","聚氣"
"117","がまん","bide","geduld","patience","참기","忍耐"
"118","ゆびをふる","metronome","metronom","métronome","손가락흔들기","揮指"
"119","オウムがえし","mirror-move","spiegeltrick","mimique","따라하기","鸚鵡學舌"
"120","じばく","self-destruct","finale","destruction","자폭","自爆"
"121","タマゴばくだん","egg-bomb","eierbombe","bombe-œuf**","알폭탄","炸蛋"
"122","したでなめる","lick","schlecker","léchouille","핥기","舌舔"
"123","スモッグ","smog","smog","purédpois","스모그","濁霧"
"124","ヘドロこうげき","sludge","schlammbad","détritus","오물공격","污泥攻擊"
"125","ホネこんぼう","bone-club","knochenkeule","massd'os","뼈다귀치기","骨棒"
"126","だいもんじ","fire-blast","feuersturm","déflagration","불대문자","大字爆炎"
"127","たきのぼり","waterfall","kaskade","cascade","폭포오르기","攀瀑"
"128","からではさむ","clamp","schnapper","claquoir","껍질끼우기","貝殼夾擊"
"129","スピードスター","swift","sternschauer","météores","스피드스타","高速星星"
"130","ロケットずつき","skull-bash","schädelwumme","coud'krâne","로케트박치기","火箭頭錘"
"131","とげキャノン","spike-cannon","dornkanone","picanon","가시대포","尖刺加農炮"
"132","からみつく","constrict","umklammerung","constriction","휘감기","纏繞"
"133","ドわすれ","amnesia","amnesie","amnésie","망각술","瞬間失憶"
"134","スプーンまげ","kinesis","psykraft","télékinésie","숟가락휘기","折彎湯匙"
"135","タマゴうみ","soft-boiled","weichei","e-coque","알낳기","生蛋"
"136","とびひざげり","high-jump-kick","turmkick","pied-voltige","무릎차기","飛膝踢"
"137","へびにらみ","glare","schlangenblick*","regard-médusant*","뱀눈초리","大蛇瞪眼"
"138","ゆめくい","dream-eater","traumfresser","dévorêve","꿈먹기","食夢"
"139","どくガス","poison-gas","giftwolke","gaz-toxik","독가스","毒瓦斯"
"140","たまなげ","barrage","stakkato","pilonnage","구슬던지기","投球"
"141","きゅうけつ","leech-life","blutsauger","vampirisme","흡혈","吸血"
"142","あくまのキッス","lovely-kiss","todeskuss","grobisou","악마의키스","惡魔之吻"
"143","ゴッドバード","sky-attack","himmelsfeger","piqué","불새","神鳥猛擊"
"144","へんしん","transform","wandler*","morphing","변신","變身"
"145","あわ","bubble","blubber","écume*","거품","泡沫"
"146","ピヨピヨパンチ","dizzy-punch","irrschlag","uppercut","잼잼펀치","迷昏拳"
"147","キノコのほうし","spore","pilzspore","spore","버섯포자","蘑菇孢子"
"148","フラッシュ","flash","blitz","flash","플래시","閃光"
"149","サイコウェーブ","psywave","psywelle","vague-psy","사이코웨이브","精神波"
"150","はねる","splash","platscher","trempette","튀어오르기","躍起"
"151","とける","acid-armor","säurepanzer","acidarmure","녹기","溶化"
"152","クラブハンマー","crabhammer","krabbhammer","pince-masse","찝게햄머","蟹鉗錘"
"153","だいばくはつ","explosion","explosion","explosion","대폭발","大爆炸"
"154","みだれひっかき","fury-swipes","kratzfurie","combo-griffe","마구할퀴기","亂抓"
"155","ホネブーメラン","bonemerang","knochmerang","osmerang","뼈다귀부메랑","骨頭回力鏢"
"156","ねむる","rest","erholung","repos","잠자기","睡覺"
"157","いわなだれ","rock-slide","steinhagel","éboulement*","스톤샤워","岩崩"
"158","ひっさつまえば","hyper-fang","hyperzahn","croc-de-mort","필살앞니","必殺門牙"
"159","かくばる","sharpen","schärfer","affûtage","각지기","棱角化"
"160","テクスチャー","conversion","umwandlung","conversion*","텍스처","紋理"
"161","トライアタック","tri-attack","triplette","triplattaque","트라이어택","三重攻擊"
"162","いかりのまえば","super-fang","superzahn","croc-fatal","분노의앞니","憤怒門牙"
"163","きりさく","slash","schlitzer","tranche","베어가르기","劈開"
"164","みがわり","substitute","delegator","clonage","대타출동","替身"
"165","わるあがき","struggle","verzweifler","lutte","발버둥","掙扎"
"166","スケッチ","sketch","nachahmer","gribouille","스케치","寫生"
"167","トリプルキック","triple-kick","dreifachkick","triple-pied","트리플킥","三連踢"
"168","どろぼう","thief","raub","larcin","도둑질","小偷"
"169","クモのす","spider-web","spinnennetz","toile","거미집","蛛網"
"170","こころのめ","mind-reader","willensleser","lire-esprit","마음의눈","心之眼"
"171","あくむ","nightmare","nachtmahr","cauchemar","악몽","惡夢"
"172","かえんぐるま","flame-wheel","flammenrad","roue-de-feu","화염자동차","火焰輪"
"173","いびき","snore","schnarcher","ronflement","코골기","打鼾"
"174","のろい","curse","fluch","malédiction","저주","詛咒"
"175","じたばた","flail","dreschflegel","gigotage*","바둥바둥","抓狂"
"176","テクスチャー２","conversion-2","umwandlung2","conversion2*","텍스처２","紋理２"
"177","エアロブラスト","aeroblast","luftstoß","aéroblast","에어로블라스트","氣旋攻擊"
"178","わたほうし","cotton-spore","baumwollsaat","spore-coton","목화포자","棉孢子"
"179","きしかいせい","reversal","gegenschlag","contre","기사회생","起死回生"
"180","うらみ","spite","groll","dépit","원한","怨恨"
"181","こなゆき","powder-snow","pulverschnee","poudreuse","눈싸라기","細雪"
"182","まもる","protect","schutzschild","abri","방어","守住"
"183","マッハパンチ","mach-punch","tempohieb","mach-punch","마하펀치","音速拳"
"184","こわいかお","scary-face","grimasse","grimace","겁나는얼굴","鬼面"
"185","だましうち","feint-attack","finte","feinte","속여때리기","出奇一擊"
"186","てんしのキッス","sweet-kiss","bitterkuss","doux-baiser","천사의키스","天使之吻"
"187","はらだいこ","belly-drum","bauchtrommel","cognobidon","배북","腹鼓"
"188","ヘドロばくだん","sludge-bomb","matschbombe","bombe-beurk*","오물폭탄","污泥炸彈"
"189","どろかけ","mud-slap","lehmschelle","coud'boue","진흙뿌리기","擲泥"
"190","オクタンほう","octazooka","octazooka","octazooka","대포무노포","章魚桶炮"
"191","まきびし","spikes","stachler","picots","압정뿌리기","撒菱"
"192","でんじほう","zap-cannon","blitzkanone","élecanon","전자포","電磁炮"
"193","みやぶる","foresight","scharfblick*","clairvoyance","꿰뚫어보기","識破"
"194","みちづれ","destiny-bond","abgangsbund","lien-du-destin**","길동무","同命"
"195","ほろびのうた","perish-song","abgesang","requiem","멸망의노래","滅亡之歌"
"196","こごえるかぜ","icy-wind","eissturm","vent-glace","얼다바람","冰凍之風"
"197","みきり","detect","scanner","détection","판별","看穿"
"198","ボーンラッシュ","bone-rush","knochenhatz","charge-os*","본러쉬","骨棒亂打"
"199","ロックオン","lock-on","zielschuss","verrouillage","록온","鎖定"
"200","げきりん","outrage","wutanfall","colère","역린","逆鱗"
"201","すなあらし","sandstorm","sandsturm","tempête-de-sable","모래바람","沙暴"
"202","ギガドレイン","giga-drain","gigasauger","giga-sangsue","기가드레인","終極吸取"
"203","こらえる","endure","ausdauer","ténacité","버티기","挺住"
"204","あまえる","charm","charme","charme","애교부리기","撒嬌"
"205","ころがる","rollout","walzer","roulade","구르기","滾動"
"206","みねうち","false-swipe","trugschlag","faux-chage","칼등치기","點到為止"
"207","いばる","swagger","angeberei","vantardise","뽐내기","虛張聲勢"
"208","ミルクのみ","milk-drink","milchgetränk","lait-à-boire","우유마시기","喝牛奶"
"209","スパーク","spark","funkensprung","étincelle*","스파크","電光"
"210","れんぞくぎり","fury-cutter","zornklinge","taillade","연속자르기","連斬"
"211","はがねのつばさ","steel-wing","stahlflügel","ailes-d'acier*","강철날개","鋼翼"
"212","くろいまなざし","mean-look","horrorblick","regard-noir","검은눈빛","黑色目光"
"213","メロメロ","attract","anziehung","attraction","헤롱헤롱","迷人"
"214","ねごと","sleep-talk","schlafrede","blabla-dodo","잠꼬대","夢話"
"215","いやしのすず","heal-bell","vitalglocke","glas-de-soin","치료방울","治癒鈴聲"
"216","おんがえし","return","rückkehr","retour","은혜갚기","報恩"
"217","プレゼント","present","geschenk","cadeau","프레젠트","禮物"
"218","やつあたり","frustration","frustration","frustration","화풀이","遷怒"
"219","しんぴのまもり","safeguard","bodyguard","rune-protect","신비의부적","神秘守護"
"220","いたみわけ","pain-split","leidteiler","balance","아픔나누기","分擔痛楚"
"221","せいなるほのお","sacred-fire","läuterfeuer","feu-sacré","성스러운불꽃","神聖之火"
"222","マグニチュード","magnitude","intensität","ampleur","매그니튜드","震級"
"223","ばくれつパンチ","dynamic-punch","wuchtschlag","dynamo-poing*","폭발펀치","爆裂拳"
"224","メガホーン","megahorn","vielender","mégacorne","메가폰","超級角擊"
"225","りゅうのいぶき","dragon-breath","feuerodem","draco-souffle*","용의숨결","龍息"
"226","バトンタッチ","baton-pass","stafette*","relais","바톤터치","接棒"
"227","アンコール","encore","zugabe","encore","앵콜","再來一次"
"228","おいうち","pursuit","verfolgung","poursuite","따라가때리기","追打"
"229","こうそくスピン","rapid-spin","turbodreher","tour-rapide","고속스핀","高速旋轉"
"230","あまいかおり","sweet-scent","lockduft","doux-parfum","달콤한향기","甜甜香氣"
"231","アイアンテール","iron-tail","eisenschweif","queue-de-fer","아이언테일","鐵尾"
"232","メタルクロー","metal-claw","metallklaue","griffe-acier","메탈크로우","金屬爪"
"233","あてみなげ","vital-throw","überwurf","corps-perdu","받아던지기","借力摔"
"234","あさのひざし","morning-sun","morgengrauen","aurore","아침햇살","晨光"
"235","こうごうせい","synthesis","synthese","synthèse","광합성","光合作用"
"236","つきのひかり","moonlight","mondschein","rayon-lune","달의불빛","月光"
"237","めざめるパワー","hidden-power","kraftreserve","puissance-cachée*","잠재파워","覺醒力量"
"238","クロスチョップ","cross-chop","kreuzhieb","coup-croix*","크로스촙","十字劈"
"239","たつまき","twister","windhose","ouragan","회오리","龍捲風"
"240","あまごい","rain-dance","regentanz","danse-pluie","비바라기","求雨"
"241","にほんばれ","sunny-day","sonnentag","zénith","쾌청","大晴天"
"242","かみくだく","crunch","knirscher","mâchouille","깨물어부수기","咬碎"
"243","ミラーコート","mirror-coat","spiegelcape","voile-miroir","미러코트","鏡面反射"
"244","じこあんじ","psych-up","psycho-plus","boost","자기암시","自我暗示"
"245","しんそく","extreme-speed","turbotempo","vitesse-extrême*","신속","神速"
"246","げんしのちから","ancient-power","antik-kraft","pouvoir-antique*","원시의힘","原始之力"
"247","シャドーボール","shadow-ball","spukball","ball'ombre","섀도볼","暗影球"
"248","みらいよち","future-sight","seher","prescience","미래예지","預知未來"
"249","いわくだき","rock-smash","zertrümmerer","éclate-roc*","바위깨기","碎岩"
"250","うずしお","whirlpool","whirlpool","siphon","바다회오리","潮旋"
"251","ふくろだたき","beat-up","prügler","baston","집단구타","圍攻"
"252","ねこだまし","fake-out","mogelhieb","bluff","속이다","擊掌奇襲"
"253","さわぐ","uproar","aufruhr","brouhaha","소란피기","吵鬧"
"254","たくわえる","stockpile","horter","stockage","비축하기","蓄力"
"255","はきだす","spit-up","entfessler","relâche","토해내기","噴出"
"256","のみこむ","swallow","verzehrer","avale","꿀꺽","吞下"
"257","ねっぷう","heat-wave","hitzewelle","canicule","열풍","熱風"
"258","あられ","hail","hagelsturm","grêle","싸라기눈","冰雹"
"259","いちゃもん","torment","folterknecht","tourmente","트집","無理取鬧"
"260","おだてる","flatter","schmeichler","flatterie","부추기기","吹捧"
"261","おにび","will-o-wisp","irrlicht","feu-follet","도깨비불","鬼火"
"262","おきみやげ","memento","memento-mori","souvenir","추억의선물","臨別禮物"
"263","からげんき","facade","fassade","façade*","객기","硬撐"
"264","きあいパンチ","focus-punch","power-punch","mitra-poing","힘껏펀치","真氣拳"
"265","きつけ","smelling-salts","riechsalz","stimulant","정신차리기","清醒"
"266","このゆびとまれ","follow-me","spotlight","par-ici","날따름","看我嘛"
"267","しぜんのちから","nature-power","natur-kraft","force-nature*","자연의힘","自然之力"
"268","じゅうでん","charge","ladevorgang","chargeur","충전","充電"
"269","ちょうはつ","taunt","verhöhner","provoc","도발","挑釁"
"270","てだすけ","helping-hand","rechte-hand","coup-d'main","도우미","幫助"
"271","トリック","trick","trickbetrug","tour-de-magie*","트릭","戲法"
"272","なりきり","role-play","rollenspiel*","imitation","역할","扮演"
"273","ねがいごと","wish","wunschtraum","vœu","희망사항","祈願"
"274","ねこのて","assist","zuschuss","assistance","조수","借助"
"275","ねをはる","ingrain","verwurzler","racines","뿌리박기","扎根"
"276","ばかぢから","superpower","kraftkoloss","surpuissance","엄청난힘","蠻力"
"277","マジックコート","magic-coat","magiemantel","reflet-magik","매직코트","魔法反射"
"278","リサイクル","recycle","aufbereitung","recyclage","리사이클","回收利用"
"279","リベンジ","revenge","vergeltung","vendetta","리벤지","報復"
"280","かわらわり","brick-break","durchbruch","casse-brique","깨트리다","劈瓦"
"281","あくび","yawn","gähner","bâillement","하품","哈欠"
"282","はたきおとす","knock-off","abschlag","sabotage","탁쳐서떨구기","拍落"
"283","がむしゃら","endeavor","notsituation","effort","죽기살기","蠻幹"
"284","ふんか","eruption","eruption","éruption","분화","噴火"
"285","スキルスワップ","skill-swap","fähigkeitstausch*","échange","스킬스웹","特性互換"
"286","ふういん","imprison","begrenzer","possessif","봉인","封印"
"287","リフレッシュ","refresh","heilung","régénération","리프레쉬","煥然一新"
"288","おんねん","grudge","nachspiel","rancune","원념","怨念"
"289","よこどり","snatch","übernahme","saisie","가로챔","搶奪"
"290","ひみつのちから","secret-power","geheimpower","force-cachée","비밀의힘","秘密之力"
"291","ダイビング","dive","taucher","plongée","다이빙","潛水"
"292","つっぱり","arm-thrust","armstoß","cogne","손바닥치기","猛推"
"293","ほごしょく","camouflage","tarnung","camouflage","보호색","保護色"
"294","ほたるび","tail-glow","schweifglanz","lumi-queue*","반딧불","螢火"
"295","ラスターパージ","luster-purge","scheinwerfer","lumi-éclat","라스트버지","潔淨光芒"
"296","ミストボール","mist-ball","nebelball","ball'brume","미스트볼","薄霧球"
"297","フェザーダンス","feather-dance","daunenreigen","danse-plumes*","깃털댄스","羽毛舞"
"298","フラフラダンス","teeter-dance","taumeltanz","danse-folle*","흔들흔들댄스","搖晃舞"
"299","ブレイズキック","blaze-kick","feuerfeger","pied-brûleur","브레이즈킥","火焰踢"
"300","どろあそび","mud-sport","lehmsuhler","lance-boue","흙놀이","玩泥巴"
"301","アイスボール","ice-ball","frostbeule","ball'glace","아이스볼","冰球"
"302","ニードルアーム","needle-arm","nietenranke","poing-dard","바늘팔","尖刺臂"
"303","なまける","slack-off","tagedieb","paresse","태만함","偷懶"
"304","ハイパーボイス","hyper-voice","schallwelle","mégaphone","하이퍼보이스","巨聲"
"305","どくどくのキバ","poison-fang","giftzahn","crochet-venin*","독엄니","劇毒牙"
"306","ブレイククロー","crush-claw","zermalmklaue","éclate-griffe**","브레이크크루","撕裂爪"
"307","ブラストバーン","blast-burn","lohekanonade","rafale-feu","블러스트번","爆炸烈焰"
"308","ハイドロカノン","hydro-cannon","aquahaubitze","hydroblast","하이드로캐논","加農水炮"
"309","コメットパンチ","meteor-mash","sternenhieb","poing-météore*","코멧펀치","彗星拳"
"310","おどろかす","astonish","erstauner","étonnement","놀래키기","驚嚇"
"311","ウェザーボール","weather-ball","meteorologe","ball'météo","웨더볼","氣象球"
"312","アロマセラピー","aromatherapy","aromakur","aromathérapie*","아로마테라피","芳香治療"
"313","うそなき","fake-tears","trugträne","croco-larme","거짓울음","假哭"
"314","エアカッター","air-cutter","windschnitt","tranch'air","에어컷터","空氣利刃"
"315","オーバーヒート","overheat","hitzekoller","surchauffe","오버히트","過熱"
"316","かぎわける","odor-sleuth","schnüffler","flair","냄새구별","氣味偵測"
"317","がんせきふうじ","rock-tomb","felsgrab","tomberoche","암석봉인","岩石封鎖"
"318","ぎんいろのかぜ","silver-wind","silberhauch","vent-argenté","은빛바람","銀色旋風"
"319","きんぞくおん","metal-sound","metallsound","strido-son","금속음","金屬音"
"320","くさぶえ","grass-whistle","grasflöte","siffl'herbe","풀피리","草笛"
"321","くすぐる","tickle","spaßkanone","chatouille","간지르기","撓癢"
"322","コスモパワー","cosmic-power","kosmik-kraft","force-cosmique*","코스믹파워","宇宙力量"
"323","しおふき","water-spout","fontränen","giclédo","해수스파우팅","噴水"
"324","シグナルビーム","signal-beam","ampelleuchte","rayon-signal","시그널빔","信號光束"
"325","シャドーパンチ","shadow-punch","finsterfaust","poing-ombre","섀도펀치","暗影拳"
"326","じんつうりき","extrasensory","sondersensor","extrasenseur","신통력","神通力"
"327","スカイアッパー","sky-uppercut","himmelhieb","stratopercut","스카이업퍼","衝天拳"
"328","すなじごく","sand-tomb","sandgrab","tourbi-sable","모래지옥","流沙地獄"
"329","ぜったいれいど","sheer-cold","eiseskälte","glaciation","절대영도","絕對零度"
"330","だくりゅう","muddy-water","lehmbrühe","ocroupi","탁류","濁流"
"331","タネマシンガン","bullet-seed","kugelsaat","balle-graine","기관총","種子機關槍"
"332","つばめがえし","aerial-ace","aero-ass","aéropique","제비반환","燕返"
"333","つららばり","icicle-spear","eisspeer","stalagtite","고드름침","冰錐"
"334","てっぺき","iron-defense","eisenabwehr","mur-de-fer","철벽","鐵壁"
"335","とおせんぼう","block","rückentzug","barrage","블록","擋路"
"336","とおぼえ","howl","jauler","grondement","멀리짖음","長嚎"
"337","ドラゴンクロー","dragon-claw","drachenklaue","draco-griffe*","드래곤크루","龍爪"
"338","ハードプラント","frenzy-plant","flora-statue*","végé-attaque*","하드플랜트","瘋狂植物"
"339","ビルドアップ","bulk-up","protzer","gonflette","벌크업","健美"
"340","とびはねる","bounce","sprungfeder","rebond","뛰어오르다","彈跳"
"341","マッドショット","mud-shot","lehmschuss","tir-de-boue","머드숏","泥巴射擊"
"342","ポイズンテール","poison-tail","giftschweif","queue-poison","포이즌테일","毒尾"
"343","ほしがる","covet","bezirzer","implore","탐내다","渴望"
"344","ボルテッカー","volt-tackle","volttackle","électacle*","볼트태클","伏特攻擊"
"345","マジカルリーフ","magical-leaf","zauberblatt","feuille-magik*","메지컬리프","魔法葉"
"346","みずあそび","water-sport","nassmacher","tourniquet","물놀이","玩水"
"347","めいそう","calm-mind","gedankengut","plénitude","명상","冥想"
"348","リーフブレード","leaf-blade","laubklinge","lame-feuille*","리프블레이드","葉刃"
"349","りゅうのまい","dragon-dance","drachentanz","danse-draco","용의춤","龍之舞"
"350","ロックブラスト","rock-blast","felswurf","boule-roc","락블레스트","岩石爆擊"
"351","でんげきは","shock-wave","schockwelle","onde-de-choc","전격파","電擊波"
"352","みずのはどう","water-pulse","aquawelle","vibraqua","물의파동","水之波動"
"353","はめつのねがい","doom-desire","kismetwunsch","vœu-destructeur*","파멸의소원","破滅之願"
"354","サイコブースト","psycho-boost","psyschub","psycho-boost*","사이코부스트","精神突進"
"355","はねやすめ","roost","ruheort","atterrissage","날개쉬기","羽棲"
"356","じゅうりょく","gravity","erdanziehung","gravité","중력","重力"
"357","ミラクルアイ","miracle-eye","wunderauge","œil-miracle","미라클아이","奇跡之眼"
"358","めざましビンタ","wake-up-slap","weckruf","réveil-forcé","잠깨움뺨치기","喚醒巴掌"
"359","アームハンマー","hammer-arm","hammerarm","marto-poing","암해머","臂錘"
"360","ジャイロボール","gyro-ball","gyroball","gyroballe","자이로볼","陀螺球"
"361","いやしのねがい","healing-wish","heilopfer","vœu-soin","치유소원","治癒之願"
